ensembl_id,gene_name,baseMean,TP317_vs_CONTR_log2FC,TP317_vs_CONTR_pvalue,TP317_vs_CONTR_padj
ENSMUSG00000022037,Clu,480151.7763018226,0.18132422216571417,0.12155522825338441,0.48473927397909744
ENSMUSG00000064351,mt-Co1,275729.58706870145,0.0644017331731511,0.6331779186064256,0.8698953506941016
ENSMUSG00000037742,Eef1a1,275364.0475182273,0.014520691681627831,0.8562121990952416,0.9567785058225519
ENSMUSG00000029304,Spp1,248112.99181024704,0.3229255786468645,0.024878665523755818,0.2722776086545671
ENSMUSG00000023944,Hsp90ab1,120808.17831347353,-0.0878074012346724,0.3798512625703462,0.7209989746087625
ENSMUSG00000001506,Col1a1,111773.86549050368,0.9419506211301618,0.0028720499585645812,0.12281904280935532
ENSMUSG00000026728,Vim,101929.34918049333,0.1328694716453177,0.057976620289369146,0.36978436730890235
ENSMUSG00000034994,Eef2,100049.31181912986,-0.05529798767987279,0.5989320559483937,0.8553976403014902
ENSMUSG00000026193,Fn1,94596.38889524348,0.1147505508320091,0.5461574014619621,0.827256952971403
ENSMUSG00000029580,Actb,88847.10659782,0.24742009454060007,0.025104111652671898,0.27275171511217944
ENSMUSG00000060126,Tpt1,87679.17198277387,0.08023473992879125,0.5614094055540951,0.835830936112245
ENSMUSG00000029661,Col1a2,72405.91259452188,0.8347980592738964,0.0059666916174566246,0.16052300478969994
ENSMUSG00000015656,Hspa8,72309.91854341568,0.0834438067518789,0.5233764658903459,0.8133603831711588
ENSMUSG00000064341,mt-Nd1,72214.38621091045,0.196799483518602,0.2397845538646347,0.6109685095682107
ENSMUSG00000064370,mt-Cytb,69433.61399127143,0.15871111245064198,0.27134457669220546,0.6372358366738904
ENSMUSG00000033161,Atp1a1,70069.87762171481,-0.1312291209585467,0.34549235545139334,0.6952292855061534
ENSMUSG00000025203,Scd2,60616.76696765152,0.02123721246561857,0.87320451493399,0.9615592001390495
ENSMUSG00000017493,Igfbp4,60044.50682611432,0.09617601227104554,0.42437144865653886,0.7519070406750513
ENSMUSG00000028081,Rps3a1,58903.645790305774,0.2180550635864605,0.07812237543601204,0.4081735426783151
ENSMUSG00000032294,Pkm,59441.97482302211,0.19465671648684846,0.010418032526014661,0.20075236483536799
ENSMUSG00000067274,Rplp0,59480.51967513111,0.1021190223559728,0.2928376461801818,0.6540009227799459
ENSMUSG00000026043,Col3a1,57930.499792634226,0.9508448850310157,0.005759164613649321,0.15882525406265896
ENSMUSG00000022283,Pabpc1,56862.940882341994,-0.11560876716388155,0.23545601096999502,0.6075518062472751
ENSMUSG00000024661,Fth1,55494.185282841856,0.09132909830905825,0.5039926574758249,0.8023400439295133
ENSMUSG00000024610,Cd74,55137.6609598343,-0.24976762823843862,0.43154712614185775,0.7568623736116324
ENSMUSG00000062825,Actg1,54056.391899771115,0.210407595240915,0.03605850015836267,0.3093120947378916
ENSMUSG00000032216,Nedd4,54023.255357037524,-0.13009312678976526,0.29097795085929656,0.6523707622442028
ENSMUSG00000049382,Krt8,53700.0681267501,0.019552421975893613,0.86631050571147,0.9593623549025732
ENSMUSG00000086503,Xist,53596.10339269462,-0.5385767884029456,0.00016753608531537486,0.0378640873991524
ENSMUSG00000032518,Rpsa,52556.29667079908,0.18647536185363178,0.019992560410514414,0.24793630989096518
ENSMUSG00000061232,H2-K1,51689.628337486145,-0.07031880964967145,0.9092295631504533,0.974184742383408
ENSMUSG00000060802,B2m,50768.03517270478,-0.077321194695138,0.8242425465361263,0.9445250539872104
ENSMUSG00000023043,Krt18,48722.99124933095,0.13553408423153673,0.15415658640961213,0.5288585768352326
ENSMUSG00000000740,Rpl13,48018.80397138061,0.07198938399042812,0.6970850158690829,0.8961046975802619
ENSMUSG00000049775,Tmsb4x,46440.137665547954,0.30600631069080614,0.08414263584090341,0.4223430018704149
ENSMUSG00000036256,Igfbp7,47022.9496435885,0.16306283936852115,0.33432613807150047,0.686525181454452
ENSMUSG00000064367,mt-Nd5,46681.03624903909,-0.16715637264746264,0.19031083463607112,0.5660608406801717
ENSMUSG00000032399,Rpl4,43660.02460634796,0.059016255115198105,0.577944655981999,0.8459982620945009
ENSMUSG00000063524,Eno1,43327.011891133574,0.1543372584142117,0.17119103804640068,0.5486027461667657
ENSMUSG00000031328,Flna,43129.87991012546,-0.11483808099966117,0.21341552838946531,0.5894559980747529
ENSMUSG00000022108,Itm2b,42135.749804309344,0.0351741847589279,0.6086135646486457,0.8602042257757886
ENSMUSG00000018593,Sparc,40953.99567845549,0.5476031232659726,0.005508342889878741,0.15647732405440898
ENSMUSG00000073411,H2-D1,41574.80315989564,-0.008114853283878584,0.9869332681007331,0.9967428191300377
ENSMUSG00000006932,Ctnnb1,41012.943947209926,-0.1068559739966729,0.3572281382479593,0.7038734802266619
ENSMUSG00000025809,Itgb1,40221.11746025962,0.08321054246908165,0.429048361473789,0.7549842021722941
ENSMUSG00000003617,Cp,40293.27398907094,-0.2652229954746853,0.15692596649528492,0.5325597028057898
ENSMUSG00000025130,P4hb,38486.85728618032,0.06447647209674004,0.35342489741544836,0.7022955158556672
ENSMUSG00000004207,Psap,38437.38406328179,-0.004594796095732272,0.9750698420147597,0.9938302493203267
ENSMUSG00000043716,Rpl7,38149.94207652404,0.10492829494746024,0.1629319840739787,0.5410526160409802
ENSMUSG00000027962,Vcam1,38433.957537960196,-0.17511103075502948,0.2668329867017165,0.6333481365783293
ENSMUSG00000024740,Ddb1,37422.07203431089,0.07023841041427992,0.5559058382663098,0.8330430833747342
ENSMUSG00000001525,Tubb5,37447.77351368208,0.11201403290809193,0.23996952774526448,0.6111926893729356
