ensembl_id,gene_name,baseMean,TP317_300_vs_CONTR_log2FC,TP317_300_vs_CONTR_pvalue,TP317_300_vs_CONTR_padj
ENSMUSG00000037742,Eef1a1,371807.71962821676,-0.4113703840848918,0.051965903833283554,0.9896287216067934
ENSMUSG00000026728,Vim,208979.76460217542,0.12419446549928279,0.21694100606412692,0.9896287216067934
ENSMUSG00000064351,mt-Co1,137420.2368394049,0.32071702676888125,0.326262593483726,0.9896287216067934
ENSMUSG00000034994,Eef2,145910.75202626485,0.19494412152770507,0.29013201825279356,0.9896287216067934
ENSMUSG00000029580,Actb,134632.859419216,0.15107500121855763,0.1914375705334702,0.9896287216067934
ENSMUSG00000000740,Rpl13,134959.9038644309,-0.1687697569135339,0.34757130126688796,0.9896287216067934
ENSMUSG00000023944,Hsp90ab1,124278.64124727788,-0.06082132003937078,0.34366068278061146,0.9896287216067934
ENSMUSG00000032294,Pkm,114268.52357588503,0.0645783603963439,0.5652098564765214,0.9896287216067934
ENSMUSG00000044533,Rps2,106546.40547879995,-0.07639887382000524,0.6846730723693162,0.9896287216067934
ENSMUSG00000067274,Rplp0,104823.07524936963,-0.5150774476658906,0.037768813599064664,0.9896287216067934
ENSMUSG00000024661,Fth1,100976.53181345719,0.027523072549761517,0.8240373962307339,0.9896287216067934
ENSMUSG00000063524,Eno1,90639.03201850095,0.05029431896288741,0.6864767427900949,0.9896287216067934
ENSMUSG00000022283,Pabpc1,83158.89042085678,0.22237838609480004,0.24360321522534167,0.9896287216067934
ENSMUSG00000064370,mt-Cytb,64427.35531890043,0.32863026800335116,0.35664750967699543,0.9896287216067934
ENSMUSG00000076258,Gm23935,76333.52867035991,0.6580369024669978,0.14390826446188634,0.9896287216067934
ENSMUSG00000011179,Odc1,72144.7101795473,-0.14755832364745144,0.4448957997541523,0.9896287216067934
ENSMUSG00000056201,Cfl1,69357.7217853549,0.11750447935568269,0.3884858452954455,0.9896287216067934
ENSMUSG00000032518,Rpsa,68576.43635869099,-0.24477510997938964,0.22675494271585028,0.9896287216067934
ENSMUSG00000003970,Rpl8,68645.79698719496,-0.16594694936730223,0.3901998694188098,0.9896287216067934
ENSMUSG00000004207,Psap,64670.01665899979,0.07849890773065529,0.4320941239734867,0.9896287216067934
ENSMUSG00000032399,Rpl4,64200.30383065013,0.00028302725783916613,0.9970585643580318,0.9987106325921667
ENSMUSG00000015656,Hspa8,61824.9631400692,-0.23821677759136214,0.06650616192866285,0.9896287216067934
ENSMUSG00000062825,Actg1,59602.702062771314,0.12135284909565779,0.38031599869064525,0.9896287216067934
ENSMUSG00000061477,Rps7,60068.021858695465,-0.4844269912285018,0.04714850259547922,0.9896287216067934
ENSMUSG00000017493,Igfbp4,58969.27171283875,0.02290359118035228,0.887907750097892,0.9896287216067934
ENSMUSG00000073411,H2-D1,58648.24594171338,0.040774177141922684,0.8120078935472878,0.9896287216067934
ENSMUSG00000068220,Lgals1,58266.16858574397,-0.15350496651918843,0.49853841108564967,0.9896287216067934
ENSMUSG00000031502,Col4a1,57524.130781585314,0.14059405645925105,0.6471603454729133,0.9896287216067934
ENSMUSG00000021939,Ctsb,53789.81812492765,-0.15728608613242398,0.30423206105563017,0.9896287216067934
ENSMUSG00000020372,Rack1,55882.04702451387,-0.593801309523875,0.034248974206431325,0.9896287216067934
ENSMUSG00000028081,Rps3a1,53312.13699506095,-0.2022342522000387,0.23137953261924726,0.9896287216067934
ENSMUSG00000001525,Tubb5,54148.5670971956,-0.012617164609857413,0.8933921296094104,0.9896287216067934
ENSMUSG00000026238,Ptma,53610.676688617146,-0.09035026485953346,0.4614567596640612,0.9896287216067934
ENSMUSG00000031328,Flna,54093.72301751331,0.12546569639790123,0.5036903720505586,0.9896287216067934
ENSMUSG00000063229,Ldha,47971.83221010091,-0.0661502491274263,0.7577724501928518,0.9896287216067934
ENSMUSG00000029304,Spp1,53275.78844374224,-0.07364477694558157,0.7564802918611886,0.9896287216067934
ENSMUSG00000045128,Rpl18a,51368.00159412916,-0.20461428812821886,0.21977762125656708,0.9896287216067934
ENSMUSG00000078812,Eif5a,51089.41884760306,-0.055756712517976884,0.7802747051707347,0.9896287216067934
ENSMUSG00000025393,Atp5b,49208.59669094048,-0.12817578782950934,0.42500037374264255,0.9896287216067934
ENSMUSG00000032216,Nedd4,50371.14546499523,0.09131179618912723,0.7089930212567372,0.9896287216067934
ENSMUSG00000106106,CT010467.1,47536.22443168844,0.07489066064979909,0.8317003871076398,0.9896287216067934
ENSMUSG00000058558,Rpl5,48666.039350935374,-0.37313037471787514,0.07010770775412911,0.9896287216067934
ENSMUSG00000031320,Rps4x,47968.587296233825,-0.2249629983487233,0.12718596793434528,0.9896287216067934
ENSMUSG00000064341,mt-Nd1,32089.775910711433,0.35652811943548796,0.2049345534948791,0.9896287216067934
ENSMUSG00000001119,Col6a1,47141.468064015666,-0.07704880662543807,0.7699645219648912,0.9896287216067934
ENSMUSG00000060036,Rpl3,46436.69937995109,-0.37827285274562433,0.0665452500455759,0.9896287216067934
ENSMUSG00000008668,Rps18,45830.192487422224,-0.42534317910765224,0.09378911521914361,0.9896287216067934
ENSMUSG00000038900,Rpl12,45779.47461231736,-0.29761124437002767,0.16505378922655467,0.9896287216067934
ENSMUSG00000028763,Hspg2,45993.856162866774,0.17057363617916588,0.7148541606582568,0.9896287216067934
ENSMUSG00000029614,Rpl6,43815.83132230587,-0.07187865419915784,0.5456415537653048,0.9896287216067934
ENSMUSG00000032231,Anxa2,42167.53423120252,-0.2255795632351573,0.20073923570685526,0.9896287216067934
ENSMUSG00000022565,Plec,43647.47767966569,0.2662265877331814,0.5458106697896346,0.9896287216067934
ENSMUSG00000026864,Hspa5,42066.38836151936,-0.3534344835760526,0.01671232025069474,0.9896287216067934
ENSMUSG00000028063,Lmna,42386.802535607,0.21369091759004039,0.17081396860621967,0.9896287216067934
ENSMUSG00000069833,Ahnak,42066.84251845244,0.18650153113543794,0.6276510354464313,0.9896287216067934
ENSMUSG00000007892,Rplp1,40252.46926615791,-0.07748462854334243,0.6590268726848842,0.9896287216067934
ENSMUSG00000022443,Myh9,41564.6036451538,0.2730827772024705,0.41940901484982085,0.9896287216067934
ENSMUSG00000046711,Hmga1,39965.76491135487,0.23914510658006258,0.17779215962272554,0.9896287216067934
ENSMUSG00000060126,Tpt1,38820.55934108646,-0.24275796673621255,0.16475668671062926,0.9896287216067934
ENSMUSG00000001025,S100a6,40091.118035993175,-0.3261115305360212,0.19094963341236937,0.9896287216067934
ENSMUSG00000021477,Ctsl,39276.03242136317,-0.010910510292407636,0.9462095948969843,0.9896287216067934
ENSMUSG00000029767,Calu,38802.33524000687,0.004185320889772991,0.9664736433054789,0.9896287216067934
ENSMUSG00000004980,Hnrnpa2b1,39106.73404011841,0.12944519781880942,0.23131146050015428,0.9896287216067934
ENSMUSG00000020571,Pdia6,39011.21787092938,-0.3668564489991015,0.041736596327001003,0.9896287216067934
ENSMUSG00000030695,Aldoa,29377.02870319705,0.0056331838221391345,0.9814956137858697,0.9927742724666901
ENSMUSG00000047675,Rps8,37911.6655491102,-0.36242865009854397,0.12261322589831787,0.9896287216067934
ENSMUSG00000030744,Rps3,37189.96732151445,-0.49456926661934136,0.07496935026827468,0.9896287216067934
ENSMUSG00000026234,Ncl,37480.25019191503,0.29931698300946535,0.1938635765025828,0.9896287216067934
ENSMUSG00000071644,Eef1g,36634.18271265533,-0.13758727561629885,0.38157874433332917,0.9896287216067934
ENSMUSG00000070436,Serpinh1,36086.29955606499,-0.3573244482124797,0.11752492297423284,0.9896287216067934
ENSMUSG00000028495,Rps6,36693.921448915775,-0.22924682255793719,0.19960272794967793,0.9896287216067934
ENSMUSG00000036371,Serbp1,36824.803307222064,0.10791951383844686,0.24003153409239408,0.9896287216067934
ENSMUSG00000031799,Tpm4,35999.31136110851,-0.030954309933609446,0.8458307951371966,0.9896287216067934
ENSMUSG00000064345,mt-Nd2,25504.463073201277,0.2847348304941871,0.4059075386291444,0.9896287216067934
ENSMUSG00000003814,Calr,36201.078326886454,-0.2960521299932401,0.09919762382888993,0.9896287216067934
ENSMUSG00000031503,Col4a2,36826.91071462379,0.1853209042335542,0.5600861849240008,0.9896287216067934
ENSMUSG00000005610,Eif4g2,34743.11467681026,0.0035009356636198363,0.9647609007928054,0.9896287216067934
ENSMUSG00000038274,Fau,33792.722322030204,-0.24116606354603717,0.2900886521714251,0.9896287216067934
ENSMUSG00000018293,Pfn1,34057.91814862253,-0.010323993204091634,0.9429318881860155,0.9896287216067934
ENSMUSG00000028639,Ybx1,34179.69353935882,-0.03673698969901553,0.7828200657337879,0.9896287216067934
ENSMUSG00000017466,Timp2,34705.2011265071,-0.00732478547353678,0.9688603709256528,0.9896287216067934
ENSMUSG00000026547,Tagln2,33289.51745495787,0.007844466956876718,0.9622268750934344,0.9896287216067934
ENSMUSG00000001175,Calm1,34035.88814570283,-0.18604257786938733,0.19046226726569304,0.9896287216067934
ENSMUSG00000023004,Tuba1b,33779.5140494496,-0.16329464979357472,0.3605758386982041,0.9896287216067934
ENSMUSG00000045983,Eif4g1,33655.82609876314,0.21324188275463984,0.34314050352920367,0.9896287216067934
ENSMUSG00000060802,B2m,32408.57020993851,0.09608428879944528,0.5078899732523723,0.9896287216067934
ENSMUSG00000071866,Ppia,32822.1285174377,-0.10213622364663694,0.522143605295529,0.9896287216067934
ENSMUSG00000008682,Rpl10,32747.77359765532,-0.22776454434414947,0.12718843715337927,0.9896287216067934
ENSMUSG00000063457,Rps15,31989.946215401123,-0.32501617927842563,0.17447607886408922,0.9896287216067934
ENSMUSG00000043716,Rpl7,32023.943226615163,-0.23491226945281485,0.14191832711558522,0.9896287216067934
ENSMUSG00000025809,Itgb1,32090.11993270129,0.022319165048078005,0.7464918467126478,0.9896287216067934
ENSMUSG00000059070,Rpl18,31206.503438294258,-0.21555772981453322,0.24942947065158672,0.9896287216067934
ENSMUSG00000039630,Hnrnpu,32042.772072142598,0.2683076308706456,0.25852192132946206,0.9896287216067934
ENSMUSG00000024740,Ddb1,31949.569104026978,0.055964366971442296,0.3736388402688613,0.9896287216067934
ENSMUSG00000001435,Col18a1,31956.435054885747,0.13042718482549082,0.4279579292393696,0.9896287216067934
ENSMUSG00000020674,Pxdn,31517.138352387654,0.15938946141730456,0.4966142681545259,0.9896287216067934
ENSMUSG00000059796,Eif4a1,31382.97959041643,-0.10405985579308563,0.41950059501626047,0.9896287216067934
ENSMUSG00000025132,Arhgdia,30861.89166953187,0.14803170947020908,0.2754461232973885,0.9896287216067934
ENSMUSG00000050708,Ftl1,29407.310955518846,0.04740335511606158,0.7897193619418212,0.9896287216067934
ENSMUSG00000031447,Lamp1,30944.801656661824,-0.08179208957930702,0.35741614555409407,0.9896287216067934
ENSMUSG00000006333,Rps9,30484.0363316514,-0.3893866589748564,0.11614365631524025,0.9896287216067934
ENSMUSG00000024608,Rps14,30191.42659428102,-0.5589664425508056,,
ENSMUSG00000064363,mt-Nd4,21641.068727822905,0.3730440404154356,0.3210504384178401,0.9896287216067934
ENSMUSG00000032366,Tpm1,26060.64649431712,0.008014356621329337,0.9522885680963369,0.9896287216067934
ENSMUSG00000029761,Cald1,30695.518151315064,-0.06517404295906476,0.2765086207085654,0.9896287216067934
ENSMUSG00000018593,Sparc,27295.58243578609,-0.31455680653832974,0.08720819950414296,0.9896287216067934
ENSMUSG00000012848,Rps5,29631.247310634248,-0.2898602472291409,0.15604545178348386,0.9896287216067934
ENSMUSG00000054766,Set,30156.86412701208,0.08154519700075928,0.3611640547569591,0.9896287216067934
ENSMUSG00000025130,P4hb,29345.916653104057,-0.42719411959865183,0.047624621125028445,0.9896287216067934
ENSMUSG00000022265,Ank,30211.257640648233,0.06451159394836894,0.5950529487863931,0.9896287216067934
ENSMUSG00000031207,Msn,29762.953175786362,0.175821943242652,0.3216549126029957,0.9896287216067934
ENSMUSG00000093674,Rpl41,28503.458749965877,-0.3093949394153265,0.17799591797587622,0.9896287216067934
